Tujuan Kab/Kota/Kec;Tujuan ID Kantor;Tujuan KPRK;Tarif Paket Pos >2 s.d 3 Kg;Tarif per Kg Berikutnya
Jakartapusat;10000;10000;70.500;23.500
Jakartabarat;11000;11000;70.500;23.500
Jakartaselatan;12000;12000;70.500;23.500
Jakartatimur;13000;13000;70.500;23.500
Jakartautara;14000;14000;70.500;23.500
Pulauseribu;14530;14000;100.500;33.500
Tangerang;15000;15000;81.000;27.000
Ciputat;15400;15400;81.000;27.000
Balaraja;15610;15000;81.000;27.000
Bogor;16000;16000;81.000;27.000
Depok;16400;16400;81.000;27.000
Ciampea;16620;16000;81.000;27.000
Cibinong;16900;16900;81.000;27.000
Bekasi;17000;17000;81.000;27.000
Cikarang;17500;17500;81.000;27.000
Babelan;17610;17000;81.000;27.000
Medan;20000;20000;67.500;22.500
Bandarbaru;20357;20000;73.500;24.500
Tebingtinggideli;20600;20600;85.500;28.500
Binjai;20700;20700;85.500;28.500
Batangserangan;20883;20700;91.500;30.500
Bandarkhalipah;20994;20600;91.500;30.500
Pematangsiantar;21100;21100;85.500;28.500
Bahjambi;21153;21100;91.500;30.500
Kisaran;21200;21200;85.500;28.500
Indrapura;21256;21200;91.500;30.500
Tanjungbalai;21300;21200;91.500;30.500
Rantauprapat;21400;21400;85.500;28.500
Merbau;21452;21400;91.500;30.500
Aekkanopan;21457;21400;91.500;30.500
Kotapinang;21464;21400;91.500;30.500
Tanjungleidong;21475;21200;100.500;33.500
Kabanjahe;22100;22100;85.500;28.500
Bunturaja;22261;22100;100.500;33.500
Salak;22272;22100;100.500;33.500
Balige;22300;22300;85.500;28.500
Nainggolan;22394;22300;115.500;38.500
Ambarita;22395;22300;114.000;38.000
Tarutung;22400;22400;85.500;28.500
Doloksanggul;22457;22400;100.500;33.500
Sibolga;22500;22500;85.500;28.500
Barus;22564;22500;100.500;33.500
Padangsidempuan;22700;22700;85.500;28.500
Batangtoru;22738;22700;91.500;30.500
Gunungtua;22753;22700;100.500;33.500
Binanga;22755;22700;100.500;33.500
Gunungsitoli;22800;22800;85.500;28.500
Lahewa;22853;22800;91.500;30.500
Sirombu;22863;22800;91.500;30.500
Telukdalam;22865;22800;100.500;33.500
Hiliweto;22871;22800;91.500;30.500
Kayulaut;22952;22700;100.500;33.500
Bandaaceh;23000;23000;138.000;46.000
Indrapuri;23363;23000;144.000;48.000
Sabang;23500;23000;168.000;56.000
Meulaboh;23600;23600;157.500;52.500
Lamno;23657;23000;153.000;51.000
Alurbilie;23662;23600;163.500;54.500
Kampungaie;23694;23600;187.500;62.500
Tapaktuan;23700;23700;157.500;52.500
Blangpidie;23764;23700;163.500;54.500
Subulussalam;23782;23700;172.500;57.500
Pulaubanyak;23791;23700;172.500;57.500
Sigli;24100;24100;157.500;52.500
Luengputu;24184;24100;163.500;54.500
Bireuen;24200;24300;157.500;52.500
Lhokseumawe;24300;24300;142.500;47.500
Alueieputeh;24392;24300;148.500;49.500
Langsa;24400;24400;144.000;48.000
Bayeun;24452;24400;150.000;50.000
Bendahara;24472;24400;150.000;50.000
Angkup;24562;24300;157.500;52.500
Janarata;24582;24300;157.500;52.500
Kutacane;24600;24600;180.000;60.000
Blangkejeran;24653;24600;195.000;65.000
Padang;25000;25000;88.500;29.500
Sikakap;25391;25000;118.500;39.500
Sioban;25392;25000;118.500;39.500
Muarasiberut;25393;25000;118.500;39.500
Muarasikabaluan;25394;25000;118.500;39.500
Pariaman;25500;25500;102.000;34.000
Kampungdalam;25552;25500;108.000;36.000
Painan;25600;25600;102.000;34.000
Tuapejat;25700;25000;118.500;39.500
Bukitinggi;26100;26100;102.000;34.000
Baso;26192;26100;117.000;39.000
Payakumbuh;26200;26200;102.000;34.000
Dangungdangung;26253;26200;108.000;36.000
Lubuksikaping;26300;26300;102.000;34.000
Airbangis;26373;26300;117.000;39.000
Padangpanjang;27100;27100;102.000;34.000
Batusangkar;27200;27100;108.000;36.000
Solok;27300;27300;102.000;34.000
Alahanpanjang;27371;27300;108.000;36.000
Sawahlunto;27400;27400;102.000;34.000
Muarobodipalangki;27561;27400;108.000;36.000
Kotabaru;27681;27400;117.000;39.000
Lubukgadang;27778;27300;117.000;39.000
Pekanbaru;28000;28000;67.500;22.500
Pangkalankerinci;28300;28000;82.500;27.500
Bangkinang;28500;28500;79.500;26.500
Daludalu;28558B1;28500;94.500;31.500
Bengkalis;28700;28800;105.000;35.000
Telukbelitung;28752;28800;109.500;36.500
Selatpanjang;28753;28800;109.500;36.500
Bantan;28754B1;28800;109.500;36.500
